tokens,tags
"['Galanthamine' 'hydrobromide' ',' 'a' 'longer' 'acting'
 'anticholinesterase' 'drug' ',' 'in' 'the' 'treatment' 'of' 'the'
 'central' 'effects' 'of' 'scopolamine' '(' 'Hyoscine' ').' 'Galanthamine'
 'hydrobromide' ',' 'an' 'anticholinesterase' 'drug' 'capable' 'of'
 'penetrating' 'the' 'blood' '-' 'brain' 'barrier' ',' 'was' 'used' 'in'
 'a' 'patient' 'demonstrating' 'central' 'effects' 'of' 'scopolamine' '('
 'hyoscine' ')' 'overdosage' '.']","[1 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 1 0 1 0 2 0]"
"['It' 'is' 'longer' 'acting' 'than' 'physostigmine' 'and' 'is' 'used' 'in'
 'anaesthesia' 'to' 'reverse' 'the' 'non' '-' 'depolarizing'
 'neuromuscular' 'block' '.']",[0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
"['However' ',' 'studies' 'into' 'the' 'dose' 'necessary' 'to' 'combating'
 'scopolamine']",[0 0 0 0 0 0 0 0 0 1]
"['Effects' 'of' 'uninephrectomy' 'and' 'high' 'protein' 'feeding' 'on'
 'lithium' '-' 'induced' 'chronic' 'renal' 'failure' 'in' 'rats' '.']",[0 0 0 0 0 0 0 0 1 0 0 2 3 3 0 0 0]
"['Rats' 'with' 'lithium' '-' 'induced' 'nephropathy' 'were' 'subjected'
 'to' 'high' 'protein' '(' 'HP' ')' 'feeding' ',' 'uninephrectomy' '('
 'NX' ')' 'or' 'a' 'combination' 'of' 'these' ',' 'in' 'an' 'attempt' 'to'
 'induce' 'glomerular' 'hyperfiltration' 'and' 'further' 'progression'
 'of' 'renal' 'failure' '.']","[0 0 1 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 2 3 0]"
"['Newborn' 'female' 'Wistar' 'rats' 'were' 'fed' 'a' 'lithium' '-'
 'containing' 'diet' '(' '50' 'mmol' '/' 'kg' ')' 'for' '8' 'weeks' 'and'
 'then' 'randomized' 'to' 'normal' 'diet' ',' 'HP' 'diet' '(' '40' 'vs'
 '.']",[0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
"['19' '%),' 'NX' 'or' 'HP' '+' 'NX' 'for' 'another' '8' 'weeks' '.']",[0 0 0 0 0 0 0 0 0 0 0 0]
"['Corresponding' 'non' '-' 'lithium' 'pretreated' 'groups' 'were'
 'generated' '.']",[0 0 0 1 0 0 0 0 0]
"['When' 'comparing' 'all' 'lithium' 'treated' 'versus' 'non' '-' 'lithium'
 '-' 'treated' 'groups' ',' 'lithium' 'caused' 'a' 'reduction' 'in'
 'glomerular' 'filtration' 'rate' '(' 'GFR' ')' 'without' 'significant'
 'changes' 'in' 'effective' 'renal' 'plasma' 'flow' '(' 'as' 'determined'
 'by' 'a' 'marker' 'secreted' 'into' 'the' 'proximal' 'tubules' ')' 'or'
 'lithium' 'clearance' '.']","[0 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 1 0 0]"
"['Consequently' ',' 'lithium' 'pretreatment' 'caused' 'a' 'fall' 'in'
 'filtration' 'fraction' 'and' 'an' 'increase' 'in' 'fractional' 'Li'
 'excretion' '.']",[0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0]
"['Lithium' 'also' 'caused' 'proteinuria' 'and' 'systolic' 'hypertension'
 'in' 'absence' 'of' 'glomerulosclerosis' '.']",[1 0 0 2 0 0 2 0 0 0 2 0]
"['HP' 'failed' 'to' 'accentuante' 'progression' 'of' 'renal' 'failure'
 'and' 'in' 'fact' 'tended' 'to' 'increase' 'GFR' 'and' 'decrease'
 'plasma' 'creatinine' 'levels' 'in' 'lithium' 'pretreated' 'rats' '.']",[0 0 0 0 0 0 2 3 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0]
"['NX' 'caused' 'an' 'additive' 'deterioration' 'in' 'GFR' 'which' ','
 'however' ',' 'was' 'ameliorated' 'by' 'HP' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
"['NX' '+' 'HP' 'caused' 'a' 'further' 'rise' 'in' 'blood' 'pressure' 'in'
 'Li' '-' 'pretreated' 'rats' '.']",[0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0]
"['The' 'results' 'indicate' 'that' 'Li' '-' 'induced' 'nephropathy' ','
 'even' 'when' 'the' 'GFR' 'is' 'only' 'modestly' 'reduced' ',' 'is'
 'associated' 'with' 'proteinuria' 'and' 'arterial' 'systolic'
 'hypertension' '.']",[0 0 0 0 1 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 2 0]
['In' 'this' 'model' 'of' 'chronic' 'renal' 'failure'],[0 0 0 0 2 3 3]
"['Treatment' 'of' ""Crohn's"" 'disease' 'with' 'fusidic' 'acid' ':' 'an'
 'antibiotic' 'with' 'immunosuppressive' 'properties' 'similar' 'to'
 'cyclosporin' '.']",[0 0 2 3 0 1 4 0 0 0 0 0 0 0 0 1 0]
"['Fusidic' 'acid' 'is' 'an' 'antibiotic' 'with' 'T' '-' 'cell' 'specific'
 'immunosuppressive' 'effects' 'similar' 'to' 'those' 'of' 'cyclosporin'
 '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0]
"['Because' 'of' 'the' 'need' 'for' 'the' 'development' 'of' 'new'
 'treatments' 'for' ""Crohn's"" 'disease' ',' 'a' 'pilot' 'study' 'was'
 'undertaken' 'to' 'estimate' 'the' 'pharmacodynamics' 'and'
 'tolerability' 'of' 'fusidic' 'acid' 'treatment' 'in' 'chronic' 'active'
 ',' 'therapy' '-' 'resistant' 'patients' '.']","[0 0 0 0 0 0 0 0 0 0 0 2 3 0 0 0 0 0 0 0 0 0 0 0 0 0 1 4 0 0 0 0 0 0 0 0 0
 0]"
"['Eight' ""Crohn's"" 'disease' 'patients' 'were' 'included' '.']",[0 2 3 0 0 0 0]
"['Fusidic' 'acid' 'was' 'administered' 'orally' 'in' 'a' 'dose' 'of' '500'
 'mg' 't' '.']",[1 4 0 0 0 0 0 0 0 0 0 0 0]
['d' '.'],[0 0]
['s' '.'],[0 0]
['and' 'the' 'treatment' 'was' 'planned' 'to' 'last' '8' 'weeks' '.'],[0 0 0 0 0 0 0 0 0 0]
"['The' 'disease' 'activity' 'was' 'primarily' 'measured' 'by' 'a'
 'modified' 'individual' 'grading' 'score' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0]
"['Five' 'of' '8' 'patients' '(' '63' '%)' 'improved' 'during' 'fusidic'
 'acid' 'treatment' ':' '3' 'at' 'two' 'weeks' 'and' '2' 'after' 'four'
 'weeks' '.']",[0 0 0 0 0 0 0 0 0 1 4 0 0 0 0 0 0 0 0 0 0 0 0]
"['There' 'were' 'no' 'serious' 'clinical' 'side' 'effects' ',' 'but'
 'dose' 'reduction' 'was' 'required' 'in' 'two' 'patients' 'because' 'of'
 'nausea' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0]
"['Biochemically' ',' 'an' 'increase' 'in' 'alkaline' 'phosphatases' 'was'
 'noted' 'in' '5' 'of' '8' 'cases' '(' '63' '%),' 'and' 'the' 'greatest'
 'increases' 'were' 'seen' 'in' 'those' 'who' 'had' 'elevated' 'levels'
 'prior' 'to' 'treatment' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
"['All' 'reversed' 'to' 'pre' '-' 'treatment' 'levels' 'after' 'cessation'
 'of' 'treatment' '.']",[0 0 0 0 0 0 0 0 0 0 0 0]
"['The' 'results' 'of' 'this' 'pilot' 'study' 'suggest' 'that' 'fusidic'
 'acid' 'may' 'be' 'of' 'benefit' 'in' 'selected' 'chronic' 'active'
 ""Crohn's"" 'disease' 'patients' 'in' 'whom' 'conventional' 'treatment'
 'is' 'ineffective' '.']",[0 0 0 0 0 0 0 0 1 4 0 0 0 0 0 0 0 0 2 3 0 0 0 0 0 0 0 0]
"['Because' 'there' 'seems' 'to' 'exist' 'a' 'scientific' 'rationale' 'for'
 'the' 'use' 'of' 'fusidic' 'acid' 'at' 'the' 'cytokine' 'level' 'in'
 'inflammatory' 'bowel' 'disease']",[0 0 0 0 0 0 0 0 0 0 0 0 1 4 0 0 0 0 0 2 3 3]
"['Electrocardiographic' 'evidence' 'of' 'myocardial' 'injury' 'in'
 'psychiatrically' 'hospitalized' 'cocaine' 'abusers' '.']",[0 0 0 2 3 0 0 0 1 0 0]
"['The' 'electrocardiograms' '(' 'ECG' ')' 'of' '99' 'cocaine' '-'
 'abusing' 'patients' 'were' 'compared' 'with' 'the' 'ECGs' 'of' '50'
 'schizophrenic' 'controls' '.']",[0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 2 0 0]
"['Eleven' 'of' 'the' 'cocaine' 'abusers' 'and' 'none' 'of' 'the'
 'controls' 'had' 'ECG' 'evidence' 'of' 'significant' 'myocardial'
 'injury' 'defined' 'as' 'myocardial' 'infarction' ',' 'ischemia' ','
 'and' 'bundle' 'branch' 'block']",[0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 2 3 0 0 2 3 0 2 0 0 2 3 3]
['Sulpiride' '-' 'induced' 'tardive' 'dystonia' '.'],[1 0 0 2 3 0]
"['Sulpiride' 'is' 'a' 'selective' 'D2' '-' 'receptor' 'antagonist' 'with'
 'antipsychotic' 'and' 'antidepressant' 'properties' '.']",[1 0 0 0 0 0 0 0 0 0 0 1 0 0]
"['Although' 'initially' 'thought' 'to' 'be' 'free' 'of' 'extrapyramidal'
 'side' 'effects' ',' 'sulpiride' '-' 'induced' 'tardive' 'dyskinesia'
 'and' 'parkinsonism' 'have' 'been' 'reported' 'occasionally' '.']",[0 0 0 0 0 0 0 0 0 0 0 1 0 0 2 3 0 2 0 0 0 0 0]
"['We' 'studied' 'a' '37' '-' 'year' '-' 'old' 'man' 'who' 'developed'
 'persistent' 'segmental' 'dystonia' 'within' '2' 'months' 'after'
 'starting' 'sulpiride' 'therapy' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 1 0 0]
"['We' 'could' 'not' 'find' 'any' 'previous' 'reports' 'of' 'sulpiride' '-'
 'induced' 'tardive' 'dystonia']",[0 0 0 0 0 0 0 0 1 0 0 2 3]
"['Ocular' 'and' 'auditory' 'toxicity' 'in' 'hemodialyzed' 'patients'
 'receiving' 'desferrioxamine' '.']",[2 3 3 3 0 0 0 0 1 0]
"['During' 'an' '18' '-' 'month' 'period' 'of' 'study' '41' 'hemodialyzed'
 'patients' 'receiving' 'desferrioxamine' '(' '10' '-' '40' 'mg' '/' 'kg'
 'BW' '/' '3' 'times' 'weekly' ')' 'for' 'the' 'first' 'time' 'were'
 'monitored' 'for' 'detection' 'of' 'audiovisual' 'toxicity' '.']","[0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 3
 0]"
"['6' 'patients' 'presented' 'clinical' 'symptoms' 'of' 'visual' 'or'
 'auditory' 'toxicity' '.']",[0 0 0 0 0 0 2 3 3 3 0]
"['Moreover' ',' 'detailed' 'ophthalmologic' 'and' 'audiologic' 'studies'
 'disclosed' 'abnormalities' 'in' '7' 'more' 'asymptomatic' 'patients' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
"['Visual' 'toxicity' 'was' 'of' 'retinal' 'origin' 'and' 'was'
 'characterized' 'by' 'a' 'tritan' '-' 'type' 'dyschromatopsy' ','
 'sometimes' 'associated' 'with' 'a' 'loss' 'of' 'visual' 'acuity' 'and'
 'pigmentary' 'retinal' 'deposits' '.']",[2 3 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 2 3 3 3 3 0 2 3 3 0]
"['Auditory' 'toxicity' 'was' 'characterized' 'by' 'a' 'mid' '-' 'to'
 'high' '-' 'frequency' 'neurosensorial' 'hearing' 'loss' 'and' 'the'
 'lesion' 'was' 'of' 'the' 'cochlear' 'type' '.']",[2 3 0 0 0 0 0 0 0 0 0 0 2 3 3 0 0 0 0 0 0 0 0 0]
"['Desferrioxamine' 'withdrawal' 'resulted' 'in' 'a' 'complete' 'recovery'
 'of' 'visual' 'function' 'in' '1' 'patient' 'and' 'partial' 'recovery'
 'in' '3' ',' 'and' 'a' 'complete' 'reversal' 'of' 'hearing' 'loss' 'in'
 '3' 'patients' 'and' 'partial' 'recovery' 'in' '3' '.']",[1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 3 0 0 0 0 0 0 0 0 0]
"['This' 'toxicity' 'appeared' 'in' 'patients' 'receiving' 'the' 'higher'
 'doses' 'of' 'desferrioxamine' 'or' 'coincided' 'with' 'the'
 'normalization' 'of' 'ferritin' 'or' 'aluminium' 'serum' 'levels' '.']",[0 2 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0]
"['The' 'data' 'indicate' 'that' 'audiovisual' 'toxicity' 'is' 'not' 'an'
 'infrequent' 'complication' 'in' 'hemodialyzed' 'patients' 'receiving'
 'desferrioxamine']",[0 0 0 0 2 3 0 0 0 0 0 0 0 0 0 1]
"['Myasthenia' 'gravis' 'presenting' 'as' 'weakness' 'after' 'magnesium'
 'administration' '.']",[2 3 0 0 0 0 1 0 0]
"['We' 'studied' 'a' 'patient' 'with' 'no' 'prior' 'history' 'of'
 'neuromuscular' 'disease' 'who' 'became' 'virtually' 'quadriplegic'
 'after' 'parenteral' 'magnesium' 'administration' 'for' 'preeclampsia'
 '.']",[0 0 0 0 0 0 0 0 0 2 3 0 0 0 2 0 0 1 0 0 2 0]
['The' 'serum' 'magnesium' 'concentration' 'was' '3' '.'],[0 0 1 0 0 0 0]
"['0' 'mEq' '/' 'L' ',' 'which' 'is' 'usually' 'well' 'tolerated' '.']",[0 0 0 0 0 0 0 0 0 0 0]
"['The' 'magnesium' 'was' 'stopped' 'and' 'she' 'recovered' 'over' 'a'
 'few' 'days' '.']",[0 1 0 0 0 0 0 0 0 0 0 0]
"['While' 'she' 'was' 'weak' ',' '2' '-' 'Hz' 'repetitive' 'stimulation'
 'revealed' 'a' 'decrement' 'without' 'significant' 'facilitation' 'at'
 'rapid' 'rates' 'or' 'after' 'exercise' ',' 'suggesting' 'postsynaptic'
 'neuromuscular' 'blockade' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 3 3 0]
"['After' 'her' 'strength' 'returned' ',' 'repetitive' 'stimulation' 'was'
 'normal' ',' 'but' 'single' 'fiber' 'EMG' 'revealed' 'increased' 'jitter'
 'and' 'blocking' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
"['Her' 'acetylcholine' 'receptor' 'antibody' 'level' 'was' 'markedly'
 'elevated' '.']",[0 1 0 0 0 0 0 0 0]
"['Although' 'paralysis' 'after' 'magnesium' 'administration' 'has' 'been'
 'described' 'in' 'patients' 'with' 'known' 'myasthenia' 'gravis' ',' 'it'
 'has' 'not' 'previously' 'been' 'reported' 'to' 'be' 'the' 'initial' 'or'
 'only' 'manifestation' 'of' 'the' 'disease' '.']",[0 2 0 1 0 0 0 0 0 0 0 0 2 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
"['Patients' 'who' 'are' 'unusually' 'sensitive' 'to' 'the' 'neuromuscular'
 'effects' 'of' 'magnesium' 'should' 'be' 'suspected' 'of' 'having' 'an'
 'underlying' 'disorder' 'of' 'neuromuscular' 'transmission']",[0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 2 3 3 3]
"['Chloroacetaldehyde' 'and' 'its' 'contribution' 'to' 'urotoxicity'
 'during' 'treatment' 'with' 'cyclophosphamide' 'or' 'ifosfamide' '.']",[1 0 0 0 0 0 0 0 0 1 0 1 0]
['An' 'experimental' 'study' '/' 'short' 'communication' '.'],[0 0 0 0 0 0 0]
"['Based' 'on' 'clinical' 'data' ',' 'indicating' 'that'
 'chloroacetaldehyde' '(' 'CAA' ')' 'is' 'an' 'important' 'metabolite'
 'of' 'oxazaphosphorine' 'cytostatics' ',' 'an' 'experimental' 'study'
 'was' 'carried' 'out' 'in' 'order' 'to' 'elucidate' 'the' 'role' 'of'
 'CAA' 'in' 'the' 'development' 'of' 'hemorrhagic' 'cystitis' '.']","[0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
 2 3 0]"
['The' 'data' 'demonstrate' 'that' 'CAA' 'after' 'i' '.'],[0 0 0 0 1 0 0 0]
['v' '.'],[0 0]
['administration' 'does' 'not' 'contribute' 'to' 'bladder' 'damage' '.'],[0 0 0 0 0 2 3 0]
"['When' 'instilled' 'directly' 'into' 'the' 'bladder' ',' 'CAA' 'exerts'
 'urotoxic' 'effects' ',' 'it' 'is' ',' 'however' ',' 'susceptible' 'to'
 'detoxification' 'with' 'mesna']",[0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1]
"['Source' 'of' 'pain' 'and' 'primitive' 'dysfunction' 'in' 'migraine' ':'
 'an' 'identical' 'site' '?' 'Twenty' 'common' 'migraine' 'patients'
 'received' 'a' 'one' 'sided' 'frontotemporal' 'application' 'of'
 'nitroglycerin' '(' '10' 'patients' ')' 'or' 'placebo' 'ointment' '('
 '10' 'patients' ')' 'in' 'a' 'double' 'blind' 'study' '.']","[0 0 2 0 0 0 0 2 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0]"
"['Early' 'onset' 'migraine' 'attacks' 'were' 'induced' 'by'
 'nitroglycerin' 'in' 'seven' 'out' 'of' '10' 'patients' 'versus' 'no'
 'patient' 'in' 'the' 'placebo' 'group' '.']",[0 0 2 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
"['Subsequently' '20' 'migraine' 'patients' ',' 'who' 'developed' 'an'
 'early' 'onset' 'attack' 'with' 'frontotemporal' 'nitroglycerin' ','
 'received' 'the' 'drug' 'in' 'a' 'second' 'induction' 'test' 'at' 'other'
 'body' 'areas' '.']",[0 0 2 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
['No' 'early' 'onset' 'migraine' 'was' 'observed' '.'],[0 0 0 2 0 0 0]
"['Thus' 'the' 'migraine' '-' 'inducing' 'effect' 'of' 'nitroglycerin'
 'seems' 'to' 'depend' 'on' 'direct' 'stimulation' 'of' 'the' 'habitual'
 'site' 'of' 'pain' ',' 'suggesting' 'that' 'the' 'frontotemporal'
 'region' 'is' 'of' 'crucial' 'importance' 'in' 'the' 'development' 'of'
 'a' 'migraine' 'crisis' '.']","[0 0 2 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0
 0]"
['This' 'is' 'not' 'consistent' 'with' 'a' 'CNS' 'origin' 'of' 'migraine'],[0 0 0 0 0 0 0 0 0 2]
['Clotiazepam' '-' 'induced' 'acute' 'hepatitis' '.'],[1 0 0 0 2 0]
"['We' 'report' 'the' 'case' 'of' 'a' 'patient' 'who' 'developed' 'acute'
 'hepatitis' 'with' 'extensive' 'hepatocellular' 'necrosis' ',' '7'
 'months' 'after' 'the' 'onset' 'of' 'administration' 'of' 'clotiazepam'
 ',' 'a' 'thienodiazepine' 'derivative' '.']",[0 0 0 0 0 0 0 0 0 0 2 0 2 3 3 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0]
['Clotiazepam' 'withdrawal' 'was' 'followed' 'by' 'prompt' 'recovery' '.'],[1 0 0 0 0 0 0 0]
"['The' 'administration' 'of' 'several' 'benzodiazepines' ',' 'chemically'
 'related' 'to' 'clotiazepam' ',' 'did' 'not' 'interfere' 'with'
 'recovery' 'and' 'did' 'not' 'induce' 'any' 'relapse' 'of' 'hepatitis'
 '.']",[0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0]
"['This' 'observation' 'shows' 'that' 'clotiazepam' 'can' 'induce' 'acute'
 'hepatitis' 'and' 'suggests' 'that' 'there' 'is' 'no' 'cross'
 'hepatotoxicity' 'between' 'clotiazepam' 'and' 'several'
 'benzodiazepines']",[0 0 0 0 1 0 0 0 2 0 0 0 0 0 0 0 2 0 1 0 0 1]
"['Arterial' 'hypertension' 'as' 'a' 'complication' 'of' 'prolonged'
 'ketoconazole' 'treatment' '.']",[0 2 0 0 0 0 0 1 0 0]
"['Two' 'of' '14' 'patients' 'with' ""Cushing's"" 'syndrome' 'treated' 'on'
 'a' 'long' '-' 'term' 'basis' 'with' 'ketoconazole' 'developed'
 'sustained' 'hypertension' '.']",[0 0 0 0 0 2 3 0 0 0 0 0 0 0 0 1 0 0 2 0]
"['In' 'both' 'cases' 'normal' 'plasma' 'and' 'urinary' 'free' 'cortisol'
 'levels' 'had' 'been' 'achieved' 'following' 'ketoconazole' 'therapy' ','
 'yet' 'continuous' 'blood' 'pressure' 'monitoring' 'demonstrated'
 'hypertension' '31' '(' 'patient' '1' ')' 'and' '52' 'weeks' '('
 'patient' '2' ')' 'after' 'treatment' '.']","[0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0]"
"['In' 'patient' '1' ',' 'plasma' 'levels' 'of' 'deoxycorticosterone' 'and'
 '11-deoxycortisol' 'were' 'elevated' '.']",[0 0 0 0 0 0 0 1 0 1 0 0 0]
