id,original_tokens,kept_tokens,removed
1877,10,10,0
994,44,44,0
4865,29,29,0
4763,45,16,29
4220,16,16,0
4383,18,18,0
464,19,19,0
1997,26,26,0
1615,22,22,0
920,15,15,0
3485,33,33,0
252,32,32,0
972,17,16,1
4669,17,17,0
4292,65,16,49
1819,20,20,0
5362,39,39,0
4503,27,27,0
3265,38,38,0
18,23,16,7
3766,47,32,15
2974,11,11,0
5192,23,16,7
3151,26,16,10
4507,35,35,0
3746,61,61,0
3042,14,14,0
656,15,15,0
983,12,12,0
5379,22,22,0
1392,42,16,26
2062,19,16,3
1607,22,16,6
4583,23,23,0
5354,18,16,2
2280,24,16,8
5293,4,4,0
5208,21,21,0
1810,21,21,0
1189,35,35,0
3078,93,48,45
508,12,12,0
2693,9,9,0
3385,31,16,15
3550,37,37,0
3490,14,14,0
5277,58,16,42
1626,19,19,0
419,26,26,0
897,14,14,0
2592,29,29,0
49,58,58,0
2472,26,26,0
1416,47,47,0
1652,29,29,0
407,20,20,0
4437,21,21,0
548,26,26,0
1936,14,14,0
996,14,14,0
1929,25,25,0
4064,8,8,0
3425,13,13,0
3828,4,4,0
2841,25,16,9
1826,13,13,0
4109,21,21,0
4229,19,19,0
3126,26,26,0
1197,43,43,0
4899,22,16,6
1773,21,21,0
708,17,17,0
1935,23,23,0
3312,12,12,0
2291,15,15,0
2681,32,32,0
3726,17,17,0
1141,15,15,0
4005,22,16,6
3853,25,25,0
3217,26,26,0
2105,12,12,0
1071,15,15,0
4496,29,29,0
228,41,41,0
2454,20,20,0
4687,44,44,0
2504,14,14,0
1609,32,32,0
234,23,23,0
1671,19,19,0
5430,29,29,0
493,16,16,0
1227,36,16,20
2306,20,16,4
2430,20,20,0
760,28,28,0
864,38,38,0
3411,13,13,0
812,24,24,0
1325,45,45,0
3621,18,18,0
5093,45,45,0
4850,26,26,0
1896,39,39,0
2248,28,28,0
2517,33,16,17
3880,23,23,0
2412,18,18,0
444,37,32,5
320,40,40,0
5021,24,24,0
186,21,21,0
4140,30,30,0
3530,30,16,14
1814,25,25,0
4021,18,18,0
339,21,16,5
276,45,32,13
1384,17,17,0
4621,24,24,0
5262,10,10,0
2148,24,24,0
183,24,24,0
2473,32,16,16
1367,29,16,13
907,16,16,0
1124,34,34,0
4450,29,29,0
4928,24,24,0
302,23,23,0
1557,37,37,0
2880,21,21,0
743,9,9,0
4668,37,16,21
3775,21,21,0
3171,38,38,0
2725,14,14,0
2074,11,11,0
1702,34,32,2
5037,19,19,0
5261,14,14,0
3087,31,31,0
2422,16,16,0
3541,4,4,0
2565,12,12,0
1114,30,30,0
3139,29,29,0
2022,15,15,0
857,23,23,0
3188,16,16,0
622,23,23,0
3897,22,22,0
4675,33,33,0
3741,24,16,8
212,15,15,0
2134,13,13,0
2548,12,12,0
2883,51,51,0
4224,47,47,0
2513,15,15,0
2482,18,18,0
3065,37,37,0
2682,42,16,26
2954,7,7,0
2561,24,24,0
1346,22,22,0
4772,2,2,0
331,18,18,0
3313,30,30,0
1905,9,9,0
1214,15,15,0
3569,27,27,0
254,9,9,0
4210,15,15,0
190,30,16,14
3032,16,16,0
5119,42,42,0
3026,45,45,0
1503,13,13,0
511,12,12,0
5274,31,16,15
1553,33,33,0
961,15,15,0
5233,25,25,0
414,22,22,0
2842,56,56,0
5017,31,16,15
2388,23,23,0
3578,37,37,0
1060,7,7,0
833,40,40,0
5349,13,13,0
1082,3,3,0
1485,21,21,0
1584,21,16,5
4310,21,21,0
3574,28,28,0
5213,24,24,0
753,28,28,0
2879,18,18,0
3856,40,40,0
1818,21,16,5
4561,29,16,13
2231,28,28,0
2325,13,13,0
2612,29,29,0
4487,37,37,0
3138,25,25,0
4200,28,28,0
4258,38,38,0
5283,81,16,65
1786,16,16,0
2546,29,16,13
566,20,20,0
5174,19,19,0
3258,43,43,0
3697,27,16,11
3656,16,16,0
1690,32,32,0
2307,32,32,0
4304,12,12,0
2127,7,7,0
485,15,15,0
995,33,33,0
1044,16,16,0
2855,21,21,0
4137,34,34,0
2146,19,19,0
317,63,32,31
3066,40,40,0
1315,36,36,0
970,19,19,0
1817,11,11,0
4937,21,21,0
1139,18,18,0
630,55,55,0
2839,22,16,6
3962,26,26,0
3661,24,24,0
4481,26,16,10
1846,37,37,0
2483,22,22,0
1622,21,21,0
3635,27,27,0
775,18,18,0
3069,17,17,0
3935,15,15,0
5067,21,21,0
4979,9,9,0
2973,31,31,0
1894,13,13,0
2679,29,29,0
3727,31,31,0
2909,33,33,0
3612,27,27,0
5025,6,6,0
1220,38,32,6
614,55,55,0
809,17,17,0
1526,3,3,0
3092,25,16,9
2988,33,33,0
8,2,2,0
5398,19,19,0
5024,40,40,0
3040,2,2,0
4004,31,16,15
5083,22,16,6
2910,11,11,0
1918,27,27,0
2563,38,32,6
3282,12,12,0
3713,19,19,0
4061,52,52,0
5086,41,16,25
1891,2,2,0
3691,24,16,8
44,21,21,0
1836,18,18,0
5031,17,17,0
4321,17,17,0
1593,31,16,15
1150,42,32,10
2922,18,16,2
3560,20,16,4
3827,7,7,0
879,47,47,0
216,7,7,0
3098,35,35,0
4524,15,15,0
1744,22,22,0
1118,29,29,0
2997,35,35,0
3943,33,32,1
278,42,32,10
2147,41,41,0
4982,29,29,0
5273,51,32,19
2605,14,14,0
621,22,22,0
1726,14,14,0
577,9,9,0
4822,21,21,0
3878,28,28,0
96,58,16,42
5186,22,22,0
1838,34,34,0
2878,19,19,0
121,40,40,0
5178,24,24,0
1201,37,37,0
1705,24,24,0
1104,21,21,0
312,28,16,12
1023,33,33,0
540,22,22,0
231,35,35,0
4716,45,45,0
3665,39,39,0
4751,17,16,1
1597,17,17,0
